Symbol Name, Symbol Address, Function Size, Matched
initMultiActorCameraNoInit__2MRFPC9LiveActorP15ActorCameraInfoPCc,8000B1D0,84,false
initActorCameraProgrammable__2MRFPC9LiveActor,8000B260,8,false
startActorCameraNoTarget__2MRFPC9LiveActorPC15ActorCameraInfol,8000B270,58,false
__ct__15CameraTargetArgFv,8000B2D0,18,false
startActorCameraTargetPlayer__2MRFPC9LiveActorPC15ActorCameraInfol,8000B2F0,60,false
startActorCameraTargetSelf__2MRFPC9LiveActorPC15ActorCameraInfol,8000B350,5C,false
sub_8000B3B0,8000B3B0,5C,false
__ct__15CameraTargetArgFP15CameraTargetMtx,8000B410,18,false
startActorCameraTargetOther__2MRFPC9LiveActorPC15ActorCameraInfoRC15CameraTargetArgl,8000B430,10,false
startMultiActorCameraNoTarget__2MRFPC9LiveActorPC15ActorCameraInfoPCcl,8000B440,5C,false
startMultiActorCameraTargetPlayer__2MRFPC9LiveActorPC15ActorCameraInfoPCcl,8000B4A0,64,false
startMultiActorCameraTargetSelf__2MRFPC9LiveActorPC15ActorCameraInfoPCcl,8000B510,60,false
sub_8000B570,8000B570,60,false
startMultiActorCameraTargetOther__2MRFPC9LiveActorPC15ActorCameraInfoPCcRC15CameraTargetArgl,8000B5D0,A0,false
startAnimCameraTargetPlayer__2MRFPC9LiveActorPC15ActorCameraInfoPCclbf,8000B670,98,false
startAnimCameraTargetSelf__2MRFPC9LiveActorPC15ActorCameraInfoPCclbf,8000B710,94,false
startAnimCameraTargetOther__2MRFPC9LiveActorPC15ActorCameraInfoPCcRC15CameraTargetArglbf,8000B7B0,88,false
startActorCameraProgrammable__2MRFPC9LiveActorl,8000B840,8,false
endActorCamera__2MRFPC9LiveActorPC15ActorCameraInfobl,8000B850,10,false
endMultiActorCamera__2MRFPC9LiveActorPC15ActorCameraInfoPCcbl,8000B860,A0,false
endActorCameraAtLanding__2MRFPC9LiveActorPC15ActorCameraInfol,8000B900,10,false
sub_8000B910,8000B910,94,false
endActorCameraProgrammable__2MRFPC9LiveActorlb,8000B9B0,8,false
isActiveActorCamera__2MRFPC9LiveActorPC15ActorCameraInfo,8000B9C0,10,false
isActiveMultiActorCamera__2MRFPC9LiveActorPC15ActorCameraInfoPCc,8000B9D0,80,false
setProgrammableCameraParam__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_RCQ29JGeometry8TVec3_f_RCQ29JGeometry8TVec3_f_,8000BA50,C,false
setProgrammableCameraParamFovy__2MRFPC9LiveActorf,8000BA60,8,false
initAnimCamera__2MRFPC9LiveActorPC15ActorCameraInfoPCc,8000BA70,50,false
initAnimCamera__2MRFPC9LiveActorPC15ActorCameraInfoPCcP14ResourceHolder,8000BAC0,A4,false
sub_8000BB70,8000BB70,70,false
sub_8000BBE0,8000BBE0,88,false
isAnimCameraEnd__2MRFPC9LiveActorPC15ActorCameraInfoPCc,8000BC70,54,false
getActorCameraFrames__2MRFPC9LiveActorPC15ActorCameraInfo,8000BCD0,10,false
getMultiActorCameraFrames__2MRFPC9LiveActorPC15ActorCameraInfoPCc,8000BCE0,80,false
isExistActorCamera__2MRFPC15ActorCameraInfo,8000BD60,24,false
startRumbleWithShakeCameraWeak__2MRFPC9LiveActorPCcPCcff,8000BD90,98,false
startRumbleWithShakeCameraNormalWeak__2MRFPC9LiveActorPCcPCcff,8000BE30,98,false
startRumbleWithShakeCameraStrong__2MRFPC9LiveActorPCcPCcff,8000BED0,98,false
sub_8000BF70,8000BF70,90,false
getValue_f___12JMapInfoIterCFPCcPf_b,8000C000,80,false
getValue_l___12JMapInfoIterCFPCcPl_b,8000C080,64,false
sub_8000C0F0,8000C0F0,58,false
__ct__Q29JGeometry8TVec3_f_FRCQ29JGeometry8TVec3_f_,8000C150,14,false
processInitFunction__2MRFP9LiveActorRC12JMapInfoIterb,8000C170,64,false
